timestamp,humidity,pm_10,pm_2_5,temperature,dayofweek,month,day,pm_2_5_lag_1,pm_2_5_lag_2,pm_2_5_lag_3,pm_2_5_lag_4,pm_2_5_lag_5,pm_2_5_lag_6,pm_2_5_lag_7
2023-04-05 11:00:00,57.18170166,11.46666667,10.76666667,42.9624176,2,4,5,11.88333333,7.366666667,11.98333333,11.75,5.711864407,6.433333333,5.933333333
2023-04-05 12:00:00,57.20499674,12.18333333,10.98333333,40.85040283,2,4,5,10.76666667,11.88333333,7.366666667,11.98333333,11.75,5.711864407,6.433333333
2023-04-05 13:00:00,54.46187682,12.54237288,11.45762712,43.75919148,2,4,5,10.98333333,10.76666667,11.88333333,7.366666667,11.98333333,11.75,5.711864407
2023-04-05 14:00:00,53.83209229,12.41666667,11.18333333,43.53578186,2,4,5,11.45762712,10.98333333,10.76666667,11.88333333,7.366666667,11.98333333,11.75
2023-04-05 15:00:00,56.79941813,11.21666667,9.95,36.51358032,2,4,5,11.18333333,11.45762712,10.98333333,10.76666667,11.88333333,7.366666667,11.98333333
2023-04-05 16:00:00,63.70452881,12.55,10.88333333,27.76960754,2,4,5,9.95,11.18333333,11.45762712,10.98333333,10.76666667,11.88333333,7.366666667
2023-04-05 17:00:00,65.94238281,18.88333333,16.9,28.30453491,2,4,5,10.88333333,9.95,11.18333333,11.45762712,10.98333333,10.76666667,11.88333333
2023-04-05 18:00:00,67.49694824,21.98333333,20.28333333,28.74362183,2,4,5,16.9,10.88333333,9.95,11.18333333,11.45762712,10.98333333,10.76666667
2023-04-05 19:00:00,68.61785889,21.8,19.75,28.34666443,2,4,5,20.28333333,16.9,10.88333333,9.95,11.18333333,11.45762712,10.98333333
2023-04-05 20:00:00,69.51843262,21.36666667,19.13333333,27.97471619,2,4,5,19.75,20.28333333,16.9,10.88333333,9.95,11.18333333,11.45762712
2023-04-05 21:00:00,70.17313639,29.7,26.53333333,27.85386658,2,4,5,19.13333333,19.75,20.28333333,16.9,10.88333333,9.95,11.18333333
2023-04-05 22:00:00,70.81390381,25.25,21.91666667,27.78236389,2,4,5,26.53333333,19.13333333,19.75,20.28333333,16.9,10.88333333,9.95
2023-04-05 23:00:00,71.36606852,27.71666667,25.3,27.63482666,2,4,5,21.91666667,26.53333333,19.13333333,19.75,20.28333333,16.9,10.88333333
2023-04-06 00:00:00,71.96492513,26.73333333,23.91666667,27.42887878,3,4,6,25.3,21.91666667,26.53333333,19.13333333,19.75,20.28333333,16.9
2023-04-06 01:00:00,72.43916829,20.26666667,17.95,27.34613037,3,4,6,23.91666667,25.3,21.91666667,26.53333333,19.13333333,19.75,20.28333333
2023-04-06 02:00:00,72.68157959,17.65,16.36666667,27.15948486,3,4,6,17.95,23.91666667,25.3,21.91666667,26.53333333,19.13333333,19.75
2023-04-06 03:00:00,72.96966553,14.61666667,12.98333333,26.89814758,3,4,6,16.36666667,17.95,23.91666667,25.3,21.91666667,26.53333333,19.13333333
2023-04-06 04:00:00,73.3013916,11.7,10.71666667,26.63580322,3,4,6,12.98333333,16.36666667,17.95,23.91666667,25.3,21.91666667,26.53333333
2023-04-06 05:00:00,73.54288737,11.38333333,9.833333333,26.61985779,3,4,6,10.71666667,12.98333333,16.36666667,17.95,23.91666667,25.3,21.91666667
2023-04-06 06:00:00,73.93269857,9.466666667,8.75,26.59031677,3,4,6,9.833333333,10.71666667,12.98333333,16.36666667,17.95,23.91666667,25.3
2023-04-06 07:00:00,74.05293783,8.383333333,7.366666667,26.94564819,3,4,6,8.75,9.833333333,10.71666667,12.98333333,16.36666667,17.95,23.91666667
2023-04-06 08:00:00,70.77709133,6.983050847,6.237288136,32.34658451,3,4,6,7.366666667,8.75,9.833333333,10.71666667,12.98333333,16.36666667,17.95
2023-04-06 09:00:00,63.74796549,8.65,7.833333333,41.80696106,3,4,6,6.237288136,7.366666667,8.75,9.833333333,10.71666667,12.98333333,16.36666667
2023-04-06 10:00:00,63.03385417,10.96666667,9.816666667,42.00384521,3,4,6,7.833333333,6.237288136,7.366666667,8.75,9.833333333,10.71666667,12.98333333
2023-04-06 11:00:00,62.23256429,15.15,13.96666667,41.69970703,3,4,6,9.816666667,7.833333333,6.237288136,7.366666667,8.75,9.833333333,10.71666667
2023-04-06 12:00:00,60.21107992,16.26666667,14.5,42.28129578,3,4,6,13.96666667,9.816666667,7.833333333,6.237288136,7.366666667,8.75,9.833333333
